Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 44.1 MB
Getting composition
Composition          Audiogram
Codec                h264
Output               out/video.mp4
Concurrency          2x
Rendered 268/7501, time remaining: 40m 35s
Rendered 268/7501, time remaining: 40m 35s
Rendered 268/7501, time remaining: 40m 35s
Rendered 269/7501, time remaining: 40m 48s
Rendered 270/7501, time remaining: 40m 37s
Rendered 270/7501, time remaining: 40m 37s
Rendered 271/7501, time remaining: 40m 48s
Rendered 272/7501, time remaining: 40m 36s
Rendered 272/7501, time remaining: 40m 36s
Rendered 273/7501, time remaining: 40m 48s
Rendered 274/7501, time remaining: 40m 33s
Rendered 274/7501, time remaining: 40m 33s
Rendered 275/7501, time remaining: 40m 48s
Rendered 276/7501, time remaining: 40m 32s
Rendered 276/7501, time remaining: 40m 32s
Rendered 277/7501, time remaining: 40m 47s
Rendered 277/7501, time remaining: 40m 47s
Rendered 278/7501, time remaining: 40m 31s
Rendered 278/7501, time remaining: 40m 31s
Rendered 279/7501, time remaining: 40m 48s
Rendered 280/7501, time remaining: 40m 32s
Rendered 280/7501, time remaining: 40m 32s
Rendered 281/7501, time remaining: 40m 48s
Rendered 282/7501, time remaining: 40m 30s
Rendered 282/7501, time remaining: 40m 30s
Rendered 283/7501, time remaining: 40m 45s
Rendered 284/7501, time remaining: 40m 26s
Rendered 284/7501, time remaining: 40m 26s
Rendered 285/7501, time remaining: 40m 42s
Rendered 285/7501, time remaining: 40m 42s
Rendered 286/7501, time remaining: 40m 26s
Rendered 286/7501, time remaining: 40m 26s
Rendered 287/7501, time remaining: 40m 41s
Rendered 288/7501, time remaining: 40m 28s
Rendered 288/7501, time remaining: 40m 28s
Rendered 289/7501, time remaining: 40m 43s
Rendered 289/7501, time remaining: 40m 43s
Rendered 290/7501, time remaining: 40m 18s
Rendered 291/7501, time remaining: 40m 29s
Rendered 291/7501, time remaining: 40m 29s
Rendered 292/7501, time remaining: 40m 17s
Rendered 293/7501, time remaining: 40m 25s
